Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Dep_Hr,Dep_Min,Arr_Hr,Arr_Min,Duration_Hr,Duration_Min,Duration_bool
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8:55,1,No Info,7531,21,MAR,2019,10,20,19,15,8,55.0,535.0
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,04:25,13:25,1,In-flight meal not included,12373,9,MAY,2019,15,0,4,25,13,25.0,805.0
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5:30,1,No Info,16289,27,MAY,2019,7,5,12,35,5,30.0,330.0
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,10:10,13:00,2:50,0,No Info,4777,24,MAR,2019,10,10,13,0,2,50.0,170.0
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9:30,1,In-flight meal not included,10844,6,JUN,2019,14,5,23,35,9,30.0,570.0
Air India,18/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2:45,0,No Info,7171,18,MAY,2019,17,0,19,45,2,45.0,165.0
Air India,27/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,19:15,24:30,2,No Info,11942,27,JUN,2019,18,45,19,15,24,30.0,1470.0
IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,10:30,13:20,2:50,0,No Info,4423,27,APR,2019,10,30,13,20,2,50.0,170.0
Vistara,18/03/2019,Delhi,Cochin,DEL → COK,14:55,17:50,2:55,0,No Info,5586,18,MAR,2019,14,55,17,50,2,55.0,175.0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:55,12:00,19:5,1,In-flight meal not included,11134,24,MAR,2019,16,55,12,0,19,5.0,1145.0
Air Asia,24/03/2019,Banglore,New Delhi,BLR → DEL,05:50,08:40,2:50,0,No Info,4284,24,MAR,2019,5,50,8,40,2,50.0,170.0
Air India,1/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2:30,0,No Info,6245,1,MAY,2019,14,15,16,45,2,30.0,150.0
SpiceJet,15/03/2019,Banglore,New Delhi,BLR → PNQ → DEL,10:20,18:15,7:55,1,No Info,10341,15,MAR,2019,10,20,18,15,7,55.0,475.0
SpiceJet,03/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2:50,0,No Info,6860,3,MAR,2019,5,45,8,35,2,50.0,170.0
Air India,3/04/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1:15,0,No Info,2050,3,APR,2019,19,30,20,45,1,15.0,75.0
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,17:45,01:30,7:45,1,In-flight meal not included,5797,24,JUN,2019,17,45,1,30,7,45.0,465.0
Air India,15/03/2019,Banglore,New Delhi,BLR → DEL,21:10,23:55,2:45,0,No Info,8851,15,MAR,2019,21,10,23,55,2,45.0,165.0
Air India,6/06/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25,19:25,2,No Info,13007,6,JUN,2019,10,0,5,25,19,25.0,1165.0
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45,24:10,1,No Info,13067,24,MAY,2019,9,35,9,45,24,10.0,1450.0
IndiGo,18/03/2019,Banglore,New Delhi,BLR → HYD → DEL,16:55,21:50,4:55,1,No Info,4049,18,MAR,2019,16,55,21,50,4,55.0,295.0
Air India,9/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2:15,0,No Info,4667,9,MAY,2019,11,40,13,55,2,15.0,135.0
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:10,21:20,14:10,2,In-flight meal not included,8938,3,MAR,2019,7,10,21,20,14,10.0,850.0
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7:50,1,No Info,7354,3,JUN,2019,11,25,19,15,7,50.0,470.0
Air India,21/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2:45,0,No Info,5438,21,APR,2019,17,0,19,45,2,45.0,165.0
Air Asia,24/05/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20,2:30,0,No Info,4107,24,MAY,2019,22,50,1,20,2,30.0,150.0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00,16:15,1,In-flight meal not included,11134,24,MAR,2019,19,45,12,0,16,15.0,975.0
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,12:35,15:40,1,In-flight meal not included,10262,15,JUN,2019,20,55,12,35,15,40.0,940.0
Air India,24/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00,01:20,18:20,2,No Info,14083,24,MAY,2019,7,0,1,20,18,20.0,1100.0
Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,23:25,16:15,1,No Info,9345,9,JUN,2019,7,10,23,25,16,15.0,975.0
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35,19:5,1,In-flight meal not included,12373,9,MAY,2019,17,30,12,35,19,5.0,1145.0
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30,9:30,1,In-flight meal not included,10196,15,JUN,2019,16,0,1,30,9,30.0,570.0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,09:20,19:15,1,No Info,13044,12,JUN,2019,14,5,9,20,19,15.0,1155.0
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,09:20,27:35,1,In-flight meal not included,9663,18,MAY,2019,5,45,9,20,27,35.0,1655.0
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,20:20,14:35,1,No Info,27992,1,MAR,2019,5,45,20,20,14,35.0,875.0
IndiGo,24/03/2019,Kolkata,Banglore,CCU → HYD → BLR,15:10,19:50,4:40,1,No Info,7476,24,MAR,2019,15,10,19,50,4,40.0,280.0
Air India,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:00,20:25,13:25,1,No Info,10413,9,JUN,2019,7,0,20,25,13,25.0,805.0
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:15,7:35,1,No Info,10261,1,JUN,2019,11,40,19,15,7,35.0,455.0
Air India,6/04/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2:45,0,No Info,5176,6,APR,2019,6,10,8,55,2,45.0,165.0
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,04:25,18:25,1,No Info,14714,6,JUN,2019,10,0,4,25,18,25.0,1105.0
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,14:25,21:25,1,In-flight meal not included,9314,15,MAY,2019,17,0,14,25,21,25.0,1285.0
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,04:25,6:35,1,No Info,14714,24,JUN,2019,21,50,4,25,6,35.0,395.0
SpiceJet,3/04/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15,1:30,0,No Info,1759,3,APR,2019,22,45,0,15,1,30.0,90.0
IndiGo,27/03/2019,Delhi,Cochin,DEL → MAA → COK,02:05,07:25,5:20,1,No Info,4744,27,MAR,2019,2,5,7,25,5,20.0,320.0
Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,00:20,04:25,28:5,1,No Info,15029,9,MAR,2019,0,20,4,25,28,5.0,1685.0
IndiGo,15/03/2019,Kolkata,Banglore,CCU → BLR,20:25,23:05,2:40,0,No Info,4462,15,MAR,2019,20,25,23,5,2,40.0,160.0
SpiceJet,12/03/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2:15,0,No Info,6300,12,MAR,2019,8,20,10,35,2,15.0,135.0
Air India,21/03/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1:15,0,No Info,2575,21,MAR,2019,19,30,20,45,1,15.0,75.0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,19:10,24:15,1,In-flight meal not included,11087,12,MAR,2019,18,55,19,10,24,15.0,1455.0
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,04:00,13:20,9:20,1,No Info,6305,27,MAR,2019,4,0,13,20,9,20.0,560.0
Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,19:40,22:20,2:40,0,No Info,8290,9,MAR,2019,19,40,22,20,2,40.0,160.0
Air Asia,03/03/2019,Banglore,New Delhi,BLR → DEL,23:25,02:10,2:45,0,No Info,6135,3,MAR,2019,23,25,2,10,2,45.0,165.0
IndiGo,27/03/2019,Delhi,Cochin,DEL → BLR → COK,02:00,07:45,5:45,1,No Info,5733,27,MAR,2019,2,0,7,45,5,45.0,345.0
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00,23:50,2,No Info,12819,27,JUN,2019,19,10,19,0,23,50.0,1430.0
IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2:50,0,No Info,4823,3,MAY,2019,20,0,22,50,2,50.0,170.0
IndiGo,9/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,21:00,16:5,1,No Info,6979,9,MAY,2019,4,55,21,0,16,5.0,965.0
Air India,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,18:30,9:5,1,No Info,10493,24,MAR,2019,9,25,18,30,9,5.0,545.0
Air India,9/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,20:00,19:15,23:15,2,No Info,16111,9,MAR,2019,20,0,19,15,23,15.0,1395.0
Air India,9/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,21:15,2,No Info,10651,9,JUN,2019,22,0,19,15,21,15.0,1275.0
IndiGo,27/05/2019,Delhi,Cochin,DEL → HYD → COK,05:05,16:10,11:5,1,No Info,6600,27,MAY,2019,5,5,16,10,11,5.0,665.0
IndiGo,21/03/2019,Kolkata,Banglore,CCU → BLR,10:10,12:55,2:45,0,No Info,5198,21,MAR,2019,10,10,12,55,2,45.0,165.0
Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → JDH → DEL,08:50,16:20,31:30,2,No Info,12778,12,MAR,2019,8,50,16,20,31,30.0,1890.0
IndiGo,27/03/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:30,1:25,0,No Info,2754,27,MAR,2019,19,5,20,30,1,25.0,85.0
Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,19:55,2,No Info,15129,9,MAY,2019,23,5,19,0,19,55.0,1195.0
IndiGo,9/05/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30,5:5,1,No Info,7255,9,MAY,2019,20,25,1,30,5,5.0,305.0
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,13:20,6:15,1,No Info,14486,21,MAR,2019,7,5,13,20,6,15.0,375.0
GoAir,21/04/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5:55,1,No Info,6591,21,APR,2019,7,0,12,55,5,55.0,355.0
SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,21:10,00:05,2:55,0,No check-in baggage included,3573,21,MAY,2019,21,10,0,5,2,55.0,175.0
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,12:35,21:35,1,In-flight meal not included,10262,1,JUN,2019,15,0,12,35,21,35.0,1295.0
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05,15:10,1,No Info,14388,15,MAY,2019,18,55,10,5,15,10.0,910.0
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00,25:30,1,No Info,14714,3,JUN,2019,17,30,19,0,25,30.0,1530.0
Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35,17:5,2,In-flight meal not included,10368,12,JUN,2019,19,30,12,35,17,5.0,1025.0
SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,09:30,12:05,2:35,0,No Info,3384,21,MAR,2019,9,30,12,5,2,35.0,155.0
Air India,24/03/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:40,25:40,1,No Info,7742,24,MAR,2019,12,0,13,40,25,40.0,1540.0
IndiGo,9/06/2019,Delhi,Cochin,DEL → BLR → COK,02:00,07:45,5:45,1,No Info,6386,9,JUN,2019,2,0,7,45,5,45.0,345.0
Jet Airways,6/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3:5,0,In-flight meal not included,7229,6,JUN,2019,18,55,22,0,3,5.0,185.0
Air India,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,18:30,9:5,1,No Info,8891,6,MAY,2019,9,25,18,30,9,5.0,545.0
IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,13:20,5:50,1,No Info,8227,27,MAR,2019,7,30,13,20,5,50.0,350.0
Air India,1/04/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13:25,2,No Info,12125,1,APR,2019,9,50,23,15,13,25.0,805.0
SpiceJet,15/06/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40,2:20,0,No Info,3873,15,JUN,2019,22,20,0,40,2,20.0,140.0
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30,9:30,1,No Info,13377,12,JUN,2019,16,0,1,30,9,30.0,570.0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35,27:10,1,No Info,10953,12,MAY,2019,20,25,23,35,27,10.0,1630.0
SpiceJet,9/03/2019,Kolkata,Banglore,CCU → BLR,06:55,09:35,2:40,0,No Info,4622,9,MAR,2019,6,55,9,35,2,40.0,160.0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,10:05,20:10,1,No Info,14231,24,MAR,2019,13,55,10,5,20,10.0,1210.0
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00,21:10,1,In-flight meal not included,10262,24,JUN,2019,21,50,19,0,21,10.0,1270.0
IndiGo,15/04/2019,Banglore,Delhi,BLR → DEL,22:10,01:00,2:50,0,No Info,3943,15,APR,2019,22,10,1,0,2,50.0,170.0
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:20,15:15,1,No Info,6717,21,MAR,2019,7,5,22,20,15,15.0,915.0
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10:30,1,No Info,10877,24,JUN,2019,8,30,19,0,10,30.0,630.0
IndiGo,1/05/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4:50,1,No Info,4775,1,MAY,2019,15,15,20,5,4,50.0,290.0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,22:35,6:5,1,No Info,14571,9,JUN,2019,16,30,22,35,6,5.0,365.0
SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,09:35,12:30,2:55,0,No check-in baggage included,6205,24,MAR,2019,9,35,12,30,2,55.0,175.0
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,18:00,21:35,1,No Info,14151,18,MAY,2019,20,25,18,0,21,35.0,1295.0
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,21:00,9:20,1,No Info,6637,27,MAR,2019,11,40,21,0,9,20.0,560.0
Air India,03/03/2019,Banglore,New Delhi,BLR → TRV → COK → DEL,07:30,10:50,27:20,2,No Info,12074,3,MAR,2019,7,30,10,50,27,20.0,1640.0
IndiGo,21/06/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2:35,0,No Info,4804,21,JUN,2019,11,30,14,5,2,35.0,155.0
IndiGo,6/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15,5:15,1,No Info,7252,6,MAY,2019,21,0,2,15,5,15.0,315.0
IndiGo,3/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4:35,1,No Info,6069,3,JUN,2019,7,35,12,10,4,35.0,275.0
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7:30,1,No Info,15554,9,MAY,2019,11,30,19,0,7,30.0,450.0
IndiGo,18/05/2019,Chennai,Kolkata,MAA → CCU,15:40,18:25,2:45,0,No Info,3850,18,MAY,2019,15,40,18,25,2,45.0,165.0
Air India,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,19:15,24:30,2,No Info,12940,18,MAY,2019,18,45,19,15,24,30.0,1470.0
SpiceJet,1/05/2019,Kolkata,Banglore,CCU → IXB → BLR,11:15,18:30,7:15,1,No Info,8844,1,MAY,2019,11,15,18,30,7,15.0,435.0
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11:55,1,In-flight meal not included,15190,12,JUN,2019,7,5,19,0,11,55.0,715.0
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,16:10,8:10,1,In-flight meal not included,9134,15,MAR,2019,8,0,16,10,8,10.0,490.0
Jet Airways,9/04/2019,Delhi,Cochin,DEL → BOM → COK,20:55,12:35,15:40,1,No Info,11822,9,APR,2019,20,55,12,35,15,40.0,940.0
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30,10:30,1,No Info,15078,9,MAY,2019,15,0,1,30,10,30.0,630.0
SpiceJet,1/03/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:10,1:25,0,No Info,11005,1,MAR,2019,22,45,0,10,1,25.0,85.0
IndiGo,21/03/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:35,10:35,1,No Info,7006,21,MAR,2019,15,0,1,35,10,35.0,635.0
IndiGo,09/03/2019,Banglore,New Delhi,BLR → HYD → DEL,16:55,21:50,4:55,1,No Info,4259,9,MAR,2019,16,55,21,50,4,55.0,295.0
Air India,9/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,21:30,19:15,21:45,2,No Info,11762,9,MAR,2019,21,30,19,15,21,45.0,1305.0
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,09:00,24:5,1,In-flight meal not included,8147,24,MAR,2019,8,55,9,0,24,5.0,1445.0
SpiceJet,27/05/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2:35,0,No check-in baggage included,3841,27,MAY,2019,6,55,9,30,2,35.0,155.0
IndiGo,3/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2:35,0,No Info,4174,3,APR,2019,17,15,19,50,2,35.0,155.0
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25,10:55,1,In-flight meal not included,12898,27,MAY,2019,17,30,4,25,10,55.0,655.0
SpiceJet,6/06/2019,Delhi,Cochin,DEL → MAA → COK,15:45,22:05,6:20,1,No Info,5583,6,JUN,2019,15,45,22,5,6,20.0,380.0
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7:30,1,In-flight meal not included,10262,6,JUN,2019,11,30,19,0,7,30.0,450.0
Jet Airways,6/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2:45,0,No Info,7229,6,MAY,2019,6,0,8,45,2,45.0,165.0
Jet Airways,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25,22:55,2,No Info,15129,21,MAY,2019,5,30,4,25,22,55.0,1375.0
Vistara,9/06/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,2:50,0,No Info,4668,9,JUN,2019,21,0,23,50,2,50.0,170.0
IndiGo,18/04/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2:55,0,No Info,4990,18,APR,2019,18,25,21,20,2,55.0,175.0
IndiGo,24/03/2019,Kolkata,Banglore,CCU → BLR,22:10,00:55,2:45,0,No Info,6985,24,MAR,2019,22,10,0,55,2,45.0,165.0
Vistara,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,18:50,11:40,1,No Info,9345,18,MAY,2019,7,10,18,50,11,40.0,700.0
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,16:20,26:15,1,In-flight meal not included,10844,15,MAY,2019,14,5,16,20,26,15.0,1575.0
IndiGo,3/06/2019,Delhi,Cochin,DEL → HYD → COK,05:05,16:10,11:5,1,No Info,6818,3,JUN,2019,5,5,16,10,11,5.0,665.0
Air India,15/05/2019,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,07:40,25:45,2,No Info,11543,15,MAY,2019,5,55,7,40,25,45.0,1545.0
SpiceJet,24/03/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:10,1:25,0,No check-in baggage included,2175,24,MAR,2019,22,45,0,10,1,25.0,85.0
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20,21:25,1,In-flight meal not included,10844,6,JUN,2019,18,55,16,20,21,25.0,1285.0
Jet Airways,1/04/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1:25,0,No Info,8040,1,APR,2019,7,5,8,30,1,25.0,85.0
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12:20,1,No Info,14571,6,JUN,2019,8,25,20,45,12,20.0,740.0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5:30,1,No Info,14571,9,JUN,2019,6,30,12,0,5,30.0,330.0
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35,20:35,1,In-flight meal not included,12898,21,MAY,2019,16,0,12,35,20,35.0,1235.0
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9:15,1,No Info,14848,12,JUN,2019,10,0,19,15,9,15.0,555.0
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30,6:30,1,No Info,8283,18,MAY,2019,19,0,1,30,6,30.0,390.0
Jet Airways,21/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2:55,0,No Info,7229,21,APR,2019,15,15,18,10,2,55.0,175.0
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,01:30,13:50,1,No Info,8405,18,MAY,2019,11,40,1,30,13,50.0,830.0
Jet Airways,3/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:40,04:25,22:45,2,No Info,19266,3,MAR,2019,5,40,4,25,22,45.0,1365.0
Air India,6/03/2019,Delhi,Cochin,DEL → BLR → COK,17:40,08:15,14:35,1,No Info,11038,6,MAR,2019,17,40,8,15,14,35.0,875.0
Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3:5,0,No Info,8016,12,JUN,2019,18,55,22,0,3,5.0,185.0
SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2:20,0,No Info,3384,21,MAR,2019,17,45,20,5,2,20.0,140.0
IndiGo,9/04/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30,6:55,1,No Info,6573,9,APR,2019,18,35,1,30,6,55.0,415.0
Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,19:55,2,No Info,12819,24,JUN,2019,23,5,19,0,19,55.0,1195.0
Jet Airways,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25,18:45,2,No Info,15129,21,MAY,2019,9,40,4,25,18,45.0,1125.0
IndiGo,27/06/2019,Banglore,Delhi,BLR → DEL,23:30,02:20,2:50,0,No Info,3943,27,JUN,2019,23,30,2,20,2,50.0,170.0
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,12:15,13:25,1,In-flight meal not included,7832,24,MAR,2019,22,50,12,15,13,25.0,805.0
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,07:10,10:05,2:55,0,No Info,6860,24,MAR,2019,7,10,10,5,2,55.0,175.0
IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2:55,0,No Info,4823,12,MAY,2019,18,25,21,20,2,55.0,175.0
Air India,6/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2:45,0,No Info,5228,6,MAY,2019,17,0,19,45,2,45.0,165.0
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5:45,1,No Info,13364,1,APR,2019,14,5,19,50,5,45.0,345.0
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,07:40,14:45,1,No Info,13555,18,MAR,2019,16,55,7,40,14,45.0,885.0
IndiGo,6/03/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25,2:20,0,No Info,5277,6,MAR,2019,22,5,0,25,2,20.0,140.0
Air India,12/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00,01:20,18:20,2,No Info,13243,12,MAY,2019,7,0,1,20,18,20.0,1100.0
Jet Airways,6/06/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2:45,0,No Info,8016,6,JUN,2019,6,0,8,45,2,45.0,165.0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,22:05,29:5,1,No Info,12692,9,JUN,2019,17,0,22,5,29,5.0,1745.0
Air India,6/06/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,18:30,10:10,2,No Info,10697,6,JUN,2019,8,20,18,30,10,10.0,610.0
SpiceJet,27/03/2019,Chennai,Kolkata,MAA → CCU,09:30,12:05,2:35,0,No Info,3384,27,MAR,2019,9,30,12,5,2,35.0,155.0
IndiGo,9/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,22:30,15:40,1,No Info,6734,9,MAY,2019,6,50,22,30,15,40.0,940.0
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,09:20,13:20,1,In-flight meal not included,10844,6,JUN,2019,20,0,9,20,13,20.0,800.0
Air India,24/05/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2:50,0,No Info,5228,24,MAY,2019,21,5,23,55,2,50.0,170.0
Air India,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,11:10,25:45,1,No Info,8891,24,MAY,2019,9,25,11,10,25,45.0,1545.0
IndiGo,27/03/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2:20,0,No Info,3384,27,MAR,2019,7,55,10,15,2,20.0,140.0
IndiGo,3/04/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4:25,1,No Info,3480,3,APR,2019,19,20,23,45,4,25.0,265.0
SpiceJet,3/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2:50,0,No Info,4423,3,MAY,2019,9,30,12,20,2,50.0,170.0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40,22:10,1,No Info,14178,9,JUN,2019,6,30,4,40,22,10.0,1330.0
SpiceJet,24/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4:30,1,No check-in baggage included,4760,24,JUN,2019,8,45,13,15,4,30.0,270.0
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45,13:20,1,No Info,14151,1,APR,2019,20,25,9,45,13,20.0,800.0
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16:20,20:20,1,No Info,12681,1,APR,2019,20,0,16,20,20,20.0,1220.0
Jet Airways,3/04/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3:15,0,In-flight meal not included,4886,3,APR,2019,11,0,14,15,3,15.0,195.0
